Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,"Educational 
Option Type","NSLP 
Provision 
Status","Charter 
School 
(Y/N)","Charter 
School 
Number","Charter 
Funding 
Type",IRC,Low Grade,High Grade,"Enrollment 
(K-12)","Free Meal 
Count 
(K-12)","Percent (%) 
Eligible Free 
(K-12)","FRPM Count 
(K-12)","Percent (%) 
Eligible FRPM 
(K-12)","Enrollment 
(Ages 5-17)","Free Meal 
Count 
(Ages 5-17)","Percent (%) 
Eligible Free 
(Ages 5-17)","FRPM Count 
(Ages 5-17)","Percent (%) 
Eligible FRPM 
(Ages 5-17)","CALPADS Fall 1 
Certification Status"
2018-2019,1,10017,112607,Alameda,Alameda County Office of Education,Envision Academy for Arts & Technology,County Office of Education (COE),High Schools (Public),Traditional,N/A,Yes,811,Directly funded,Y,9,12,385,262,68.10%,306,79.50%,370,249,67.30%,291,78.60%,Y
2018-2019,1,10017,123968,Alameda,Alameda County Office of Education,Community School for Creative Education,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Yes,1284,Directly funded,Y,K,8,241,118,49.00%,120,49.80%,224,113,50.40%,115,51.30%,Y
2018-2019,1,10017,124172,Alameda,Alameda County Office of Education,Yu Ming Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Yes,1296,Directly funded,Y,K,8,445,58,13.00%,64,14.40%,445,58,13.00%,64,14.40%,Y
2018-2019,1,10017,125567,Alameda,Alameda County Office of Education,Urban Montessori Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Yes,1383,Directly funded,Y,K,8,432,113,26.20%,131,30.30%,418,111,26.60%,129,30.90%,Y
2018-2019,1,10017,130401,Alameda,Alameda County Office of Education,Alameda County Juvenile Hall/Court,County Office of Education (COE),Juvenile Court Schools,Juvenile Court School,N/A,No ,N/A,N/A,N,K,12,53,53,100.00%,53,100.00%,50,50,100.00%,50,100.00%,Y
2018-2019,1,10017,130419,Alameda,Alameda County Office of Education,Alameda County Community,County Office of Education (COE),County Community,County Community School,N/A,No ,N/A,N/A,N,K,12,133,106,79.70%,114,85.70%,110,86,78.20%,93,84.50%,Y
2018-2019,1,10017,131581,Alameda,Alameda County Office of Education,Oakland Unity Middle,County Office of Education (COE),Intermediate/Middle Schools (Public),Traditional,N/A,Yes,1707,Directly funded,Y,6,8,184,128,69.60%,141,76.60%,184,128,69.60%,141,76.60%,Y
2018-2019,1,10017,136101,Alameda,Alameda County Office of Education,Connecting Waters Charter - East Bay,County Office of Education (COE),K-12 Schools (Public),Traditional,N/A,Yes,1881,Directly funded,Y,K,12,314,41,13.10%,41,13.10%,306,39,12.70%,39,12.70%,Y
2018-2019,1,10017,136226,Alameda,Alameda County Office of Education,Opportunity Academy,County Office of Education (COE),County Community,County Community School,N/A,Yes,1888,Locally funded,N,10,12,71,34,47.90%,34,47.90%,16,8,50.00%,8,50.00%,Y
2018-2019,1,10017,137448,Alameda,Alameda County Office of Education,Aurum Preparatory Academy,County Office of Education (COE),Junior High Schools (Public),Traditional,N/A,Yes,1908,Directly funded,Y,6,8,91,75,82.40%,81,89.00%,91,75,82.40%,81,89.00%,Y
2018-2019,1,10017,6001788,Alameda,Alameda County Office of Education,Cox Academy,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Yes,740,Directly funded,Y,P,5,610,512,83.90%,548,89.80%,596,501,84.10%,535,89.80%,Y
2018-2019,1,10017,6002000,Alameda,Alameda County Office of Education,Lazear Charter Academy,County Office of Education (COE),Elementary Schools (Public),Traditional,N/A,Yes,1464,Directly funded,Y,K,8,476,357,75.00%,425,89.30%,465,350,75.30%,416,89.50%,Y
2018-2019,1,31609,131755,Alameda,California School for the Blind (State Special Schl),California School for the Blind,State Special Schools,State Special Schools,State Special School,N/A,No ,N/A,N/A,N,K,Adult,66,66,100.00%,66,100.00%,42,42,100.00%,42,100.00%,Y
2018-2019,1,31617,131763,Alameda,California School for the Deaf-Fremont (State Special Schl),California School for the Deaf-Fremont,State Special Schools,State Special Schools,State Special School,N/A,No ,N/A,N/A,N,P,12,372,372,100.00%,372,100.00%,311,311,100.00%,311,100.00%,Y
2018-2019,1,61119,1,Alameda,Alameda Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33,5,15.20%,5,15.20%,28,3,10.70%,3,10.70%,Y
2018-2019,1,61119,106401,Alameda,Alameda Unified,Alameda Science and Technology Institute,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,9,12,192,47,24.50%,55,28.60%,191,46,24.10%,54,28.30%,Y
2018-2019,1,61119,111765,Alameda,Alameda Unified,Ruby Bridges Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,484,279,57.60%,305,63.00%,470,274,58.30%,300,63.80%,Y
2018-2019,1,61119,119222,Alameda,Alameda Unified,Nea Community Learning Center,Unified School District,K-12 Schools (Public),Traditional,N/A,Yes,1066,Directly funded,Y,K,12,579,171,29.50%,203,35.10%,573,168,29.30%,200,34.90%,Y
2018-2019,1,61119,122085,Alameda,Alameda Unified,The Academy of Alameda,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,Yes,1181,Directly funded,Y,6,8,494,191,38.70%,236,47.80%,494,191,38.70%,236,47.80%,Y
2018-2019,1,61119,126656,Alameda,Alameda Unified,Maya Lin,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,K,5,427,89,20.80%,98,23.00%,427,89,20.80%,98,23.00%,Y
2018-2019,1,61119,130229,Alameda,Alameda Unified,Alameda High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"1,767",346,19.60%,371,21.00%,"1,696",321,18.90%,345,20.30%,Y
2018-2019,1,61119,130609,Alameda,Alameda Unified,Alameda Community Learning Center,Unified School District,K-12 Schools (Public),Traditional,N/A,Yes,352,Directly funded,Y,6,12,351,90,25.60%,93,26.50%,348,88,25.30%,91,26.10%,Y
2018-2019,1,61119,130625,Alameda,Alameda Unified,Alternatives in Action,Unified School District,High Schools (Public),Traditional,N/A,Yes,398,Directly funded,Y,9,12,202,182,90.10%,191,94.60%,178,160,89.90%,168,94.40%,Y
2018-2019,1,61119,131805,Alameda,Alameda Unified,The Academy of Alameda Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1718,Directly funded,Y,K,5,251,87,34.70%,114,45.40%,249,87,34.90%,114,45.80%,Y
2018-2019,1,61119,132142,Alameda,Alameda Unified,Encinal Junior/Senior High,Unified School District,K-12 Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,12,"1,261",452,35.80%,498,39.50%,"1,234",436,35.30%,481,39.00%,Y
2018-2019,1,61119,134304,Alameda,Alameda Unified,Island High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,96,50,52.10%,52,54.20%,75,39,52.00%,41,54.70%,Y
2018-2019,1,61119,6090005,Alameda,Alameda Unified,Donald D. Lum Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,5,5,30,8,26.70%,8,26.70%,30,8,26.70%,8,26.70%,Y
2018-2019,1,61119,6090013,Alameda,Alameda Unified,Edison Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,469,54,11.50%,60,12.80%,469,54,11.50%,60,12.80%,Y
2018-2019,1,61119,6090021,Alameda,Alameda Unified,Frank Otis Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,640,87,13.60%,101,15.80%,640,87,13.60%,101,15.80%,Y
2018-2019,1,61119,6090039,Alameda,Alameda Unified,Franklin Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,335,62,18.50%,70,20.90%,335,62,18.50%,70,20.90%,Y
2018-2019,1,61119,6090047,Alameda,Alameda Unified,Henry Haight Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,544,226,41.50%,251,46.10%,527,220,41.70%,244,46.30%,Y
2018-2019,1,61119,6090054,Alameda,Alameda Unified,Lincoln Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,872,119,13.60%,134,15.40%,872,119,13.60%,134,15.40%,Y
2018-2019,1,61119,6090112,Alameda,Alameda Unified,Will C. Wood Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,575,226,39.30%,250,43.50%,575,226,39.30%,250,43.50%,Y
2018-2019,1,61119,6090120,Alameda,Alameda Unified,William G. Paden Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,397,159,40.10%,181,45.60%,384,156,40.60%,176,45.80%,Y
2018-2019,1,61119,6100374,Alameda,Alameda Unified,Amelia Earhart Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,651,69,10.60%,76,11.70%,626,65,10.40%,72,11.50%,Y
2018-2019,1,61119,6110779,Alameda,Alameda Unified,Bay Farm,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,610,54,8.90%,60,9.80%,610,54,8.90%,60,9.80%,Y
2018-2019,1,61127,1,Alameda,Albany City Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,1,16.70%,1,16.70%,3,1,33.30%,1,33.30%,Y
2018-2019,1,61127,130294,Alameda,Albany City Unified,MacGregor High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,10,12,8,4,50.00%,4,50.00%,6,3,50.00%,3,50.00%,Y
2018-2019,1,61127,130450,Alameda,Albany City Unified,Albany High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"1,168",190,16.30%,214,18.30%,"1,135",181,15.90%,205,18.10%,Y
2018-2019,1,61127,6090146,Alameda,Albany City Unified,Cornell Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,561,69,12.30%,76,13.50%,561,69,12.30%,76,13.50%,Y
2018-2019,1,61127,6090161,Alameda,Albany City Unified,Albany Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,862,160,18.60%,190,22.00%,862,160,18.60%,190,22.00%,Y
2018-2019,1,61127,6095376,Alameda,Albany City Unified,Marin Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,504,66,13.10%,82,16.30%,504,66,13.10%,82,16.30%,Y
2018-2019,1,61127,6116222,Alameda,Albany City Unified,Ocean View Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,573,173,30.20%,191,33.30%,541,167,30.90%,185,34.20%,Y
2018-2019,1,61143,1,Alameda,Berkeley Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40,7,17.50%,7,17.50%,35,6,17.10%,6,17.10%,Y
2018-2019,1,61143,131177,Alameda,Berkeley Unified,Berkeley High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"3,154",739,23.40%,823,26.10%,"3,077",721,23.40%,803,26.10%,Y
2018-2019,1,61143,134924,Alameda,Berkeley Unified,Berkeley Technology Academy,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,10,12,47,36,76.60%,37,78.70%,45,35,77.80%,36,80.00%,Y
2018-2019,1,61143,138552,Alameda,Berkeley Unified,REALM Charter,Unified School District,K-12 Schools (Public),Traditional,N/A,Yes,1255,Directly funded,Y,6,12,383,216,56.40%,240,62.70%,376,211,56.10%,235,62.50%,Y
2018-2019,1,61143,6056857,Alameda,Berkeley Unified,Martin Luther King Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,989,208,21.00%,249,25.20%,989,208,21.00%,249,25.20%,Y
2018-2019,1,61143,6056865,Alameda,Berkeley Unified,Willard Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,667,198,29.70%,237,35.50%,667,198,29.70%,237,35.50%,Y
2018-2019,1,61143,6090187,Alameda,Berkeley Unified,Rosa Parks Environmental Science,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,449,88,19.60%,98,21.80%,449,88,19.60%,98,21.80%,Y
2018-2019,1,61143,6090195,Alameda,Berkeley Unified,Cragmont Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,377,104,27.60%,117,31.00%,377,104,27.60%,117,31.00%,Y
2018-2019,1,61143,6090211,Alameda,Berkeley Unified,Emerson Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,320,104,32.50%,110,34.40%,320,104,32.50%,110,34.40%,Y
2018-2019,1,61143,6090252,Alameda,Berkeley Unified,Jefferson Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,401,83,20.70%,95,23.70%,401,83,20.70%,95,23.70%,Y
2018-2019,1,61143,6090278,Alameda,Berkeley Unified,Sylvia Mendez Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,398,109,27.40%,125,31.40%,379,102,26.90%,118,31.10%,Y
2018-2019,1,61143,6090286,Alameda,Berkeley Unified,Malcolm X Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,557,127,22.80%,143,25.70%,533,121,22.70%,136,25.50%,Y
2018-2019,1,61143,6090294,Alameda,Berkeley Unified,Longfellow Arts and Technology Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,497,248,49.90%,297,59.80%,497,248,49.90%,297,59.80%,Y
2018-2019,1,61143,6090302,Alameda,Berkeley Unified,Oxford Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,281,73,26.00%,94,33.50%,281,73,26.00%,94,33.50%,Y
2018-2019,1,61143,6090310,Alameda,Berkeley Unified,Thousand Oaks Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,403,135,33.50%,154,38.20%,403,135,33.50%,154,38.20%,Y
2018-2019,1,61143,6090328,Alameda,Berkeley Unified,Washington Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,501,130,25.90%,143,28.50%,463,121,26.10%,134,28.90%,Y
2018-2019,1,61143,6097729,Alameda,Berkeley Unified,Berkeley Arts Magnet at Whittier,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,425,110,25.90%,129,30.40%,425,110,25.90%,129,30.40%,Y
2018-2019,1,61143,6105316,Alameda,Berkeley Unified,John Muir Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,305,90,29.50%,105,34.40%,305,90,29.50%,105,34.40%,Y
2018-2019,1,61150,1,Alameda,Castro Valley Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14,2,14.30%,2,14.30%,13,2,15.40%,2,15.40%,Y
2018-2019,1,61150,130047,Alameda,Castro Valley Unified,Roy A. Johnson High,Unified School District,Special Education Schools (Public),Special Education School,N/A,No ,N/A,N/A,N,9,12,17,5,29.40%,6,35.30%,0,0,0.00%,0,0.00%,Y
2018-2019,1,61150,132225,Alameda,Castro Valley Unified,Castro Valley High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"2,834",520,18.30%,629,22.20%,"2,786",508,18.20%,614,22.00%,Y
2018-2019,1,61150,133876,Alameda,Castro Valley Unified,Castro Valley Virtual Academy,Unified School District,K-12 Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,12,14,2,14.30%,2,14.30%,14,2,14.30%,2,14.30%,Y
2018-2019,1,61150,135533,Alameda,Castro Valley Unified,Redwood Continuation High,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,125,47,37.60%,50,40.00%,117,45,38.50%,48,41.00%,Y
2018-2019,1,61150,6090351,Alameda,Castro Valley Unified,Castro Valley Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,506,187,37.00%,233,46.00%,468,181,38.70%,225,48.10%,Y
2018-2019,1,61150,6090369,Alameda,Castro Valley Unified,Chabot Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,464,82,17.70%,98,21.10%,463,81,17.50%,97,21.00%,Y
2018-2019,1,61150,6090385,Alameda,Castro Valley Unified,Creekside Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,781,145,18.60%,185,23.70%,781,145,18.60%,185,23.70%,Y
2018-2019,1,61150,6090393,Alameda,Castro Valley Unified,Independent Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,626,87,13.90%,98,15.70%,594,85,14.30%,96,16.20%,Y
2018-2019,1,61150,6090401,Alameda,Castro Valley Unified,Marshall Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,490,135,27.60%,169,34.50%,490,135,27.60%,169,34.50%,Y
2018-2019,1,61150,6090419,Alameda,Castro Valley Unified,Palomares Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,143,30,21.00%,32,22.40%,143,30,21.00%,32,22.40%,Y
2018-2019,1,61150,6090435,Alameda,Castro Valley Unified,Proctor Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,511,74,14.50%,90,17.60%,510,74,14.50%,90,17.60%,Y
2018-2019,1,61150,6090468,Alameda,Castro Valley Unified,Stanton Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,493,149,30.20%,179,36.30%,476,147,30.90%,177,37.20%,Y
2018-2019,1,61150,6090484,Alameda,Castro Valley Unified,Vannoy Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,436,56,12.80%,61,14.00%,436,56,12.80%,61,14.00%,Y
2018-2019,1,61150,6097653,Alameda,Castro Valley Unified,Canyon Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,"1,391",282,20.30%,333,23.90%,"1,391",282,20.30%,333,23.90%,Y
2018-2019,1,61150,6113005,Alameda,Castro Valley Unified,Jensen Ranch Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,424,38,9.00%,47,11.10%,424,38,9.00%,47,11.10%,Y
2018-2019,1,61168,132746,Alameda,Emery Unified,Emery Secondary,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,209,155,74.20%,170,81.30%,205,152,74.10%,167,81.50%,Y
2018-2019,1,61168,6090492,Alameda,Emery Unified,Anna Yates Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,534,373,69.90%,426,79.80%,522,363,69.50%,416,79.70%,Y
2018-2019,1,61176,1,Alameda,Fremont Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,49,9,18.40%,9,18.40%,40,7,17.50%,7,17.50%,Y
2018-2019,1,61176,127233,Alameda,Fremont Unified,Young Adult Program,Unified School District,Special Education Schools (Public),Special Education School,N/A,No ,N/A,N/A,N,9,12,41,7,17.10%,7,17.10%,1,0,0.00%,0,0.00%,Y
2018-2019,1,61176,130062,Alameda,Fremont Unified,American High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"2,448",411,16.80%,492,20.10%,"2,412",402,16.70%,480,19.90%,Y
2018-2019,1,61176,130138,Alameda,Fremont Unified,Robertson High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,176,91,51.70%,102,58.00%,146,77,52.70%,87,59.60%,Y
2018-2019,1,61176,130435,Alameda,Fremont Unified,Vista Alternative,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,7,12,34,17,50.00%,19,55.90%,30,15,50.00%,17,56.70%,Y
2018-2019,1,61176,130534,Alameda,Fremont Unified,Circle of Independent Learning,Unified School District,K-12 Schools (Public),Traditional,N/A,Yes,152,Locally funded,N,K,12,368,96,26.10%,118,32.10%,354,93,26.30%,114,32.20%,Y
2018-2019,1,61176,134270,Alameda,Fremont Unified,Irvington High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"2,294",312,13.60%,383,16.70%,"2,270",304,13.40%,374,16.50%,Y
2018-2019,1,61176,134452,Alameda,Fremont Unified,John F. Kennedy High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"1,292",419,32.40%,559,43.30%,"1,259",408,32.40%,546,43.40%,Y
2018-2019,1,61176,135244,Alameda,Fremont Unified,Mission San Jose High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"2,046",119,5.80%,138,6.70%,"2,029",116,5.70%,135,6.70%,Y
2018-2019,1,61176,138693,Alameda,Fremont Unified,Washington High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"1,918",463,24.10%,568,29.60%,"1,870",450,24.10%,552,29.50%,Y
2018-2019,1,61176,6000541,Alameda,Fremont Unified,John Blacow Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,447,151,33.80%,196,43.80%,432,151,35.00%,196,45.40%,Y
2018-2019,1,61176,6000558,Alameda,Fremont Unified,Brier Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,717,222,31.00%,286,39.90%,698,218,31.20%,282,40.40%,Y
2018-2019,1,61176,6000566,Alameda,Fremont Unified,Cabrillo Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,418,174,41.60%,222,53.10%,418,174,41.60%,222,53.10%,Y
2018-2019,1,61176,6000590,Alameda,Fremont Unified,E. M. Grimmer Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,481,173,36.00%,214,44.50%,481,173,36.00%,214,44.50%,Y
2018-2019,1,61176,6000624,Alameda,Fremont Unified,Glenmoor Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,663,171,25.80%,209,31.50%,663,171,25.80%,209,31.50%,Y
2018-2019,1,61176,6000640,Alameda,Fremont Unified,Harvey Green Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,517,139,26.90%,162,31.30%,501,135,26.90%,158,31.50%,Y
2018-2019,1,61176,6000665,Alameda,Fremont Unified,J. Haley Durham Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,707,131,18.50%,167,23.60%,692,131,18.90%,167,24.10%,Y
2018-2019,1,61176,6000673,Alameda,Fremont Unified,James Leitch Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,3,857,36,4.20%,41,4.80%,833,31,3.70%,36,4.30%,Y
2018-2019,1,61176,6000681,Alameda,Fremont Unified,Joseph Azevada Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,650,111,17.10%,146,22.50%,646,110,17.00%,145,22.40%,Y
2018-2019,1,61176,6000715,Alameda,Fremont Unified,Tom Maloney Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,589,90,15.30%,117,19.90%,574,90,15.70%,116,20.20%,Y
2018-2019,1,61176,6000723,Alameda,Fremont Unified,John G. Mattos Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,607,89,14.70%,108,17.80%,607,89,14.70%,108,17.80%,Y
2018-2019,1,61176,6000749,Alameda,Fremont Unified,Mission Valley Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,655,50,7.60%,57,8.70%,655,50,7.60%,57,8.70%,Y
2018-2019,1,61176,6000756,Alameda,Fremont Unified,Niles Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,588,60,10.20%,77,13.10%,575,59,10.30%,76,13.20%,Y
2018-2019,1,61176,6000764,Alameda,Fremont Unified,O. N. Hirsch Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,570,110,19.30%,132,23.20%,570,110,19.30%,132,23.20%,Y
2018-2019,1,61176,6000798,Alameda,Fremont Unified,Parkmont Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,885,90,10.20%,99,11.20%,872,90,10.30%,99,11.40%,Y
2018-2019,1,61176,6000806,Alameda,Fremont Unified,Patterson Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,786,153,19.50%,182,23.20%,755,150,19.90%,179,23.70%,Y
2018-2019,1,61176,6000830,Alameda,Fremont Unified,Vallejo Mill Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,519,124,23.90%,151,29.10%,508,124,24.40%,151,29.70%,Y
2018-2019,1,61176,6000848,Alameda,Fremont Unified,Warm Springs Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,3,6,"1,054",44,4.20%,54,5.10%,"1,054",44,4.20%,54,5.10%,Y
2018-2019,1,61176,6056873,Alameda,Fremont Unified,Centerville Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,972,242,24.90%,290,29.80%,972,242,24.90%,290,29.80%,Y
2018-2019,1,61176,6056881,Alameda,Fremont Unified,G. M. Walters Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,727,229,31.50%,308,42.40%,727,229,31.50%,308,42.40%,Y
2018-2019,1,61176,6056907,Alameda,Fremont Unified,John M. Horner Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,"1,245",181,14.50%,218,17.50%,"1,245",181,14.50%,218,17.50%,Y
2018-2019,1,61176,6056915,Alameda,Fremont Unified,Thornton Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,"1,297",186,14.30%,224,17.30%,"1,297",186,14.30%,224,17.30%,Y
2018-2019,1,61176,6056923,Alameda,Fremont Unified,William Hopkins Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,"1,060",69,6.50%,81,7.60%,"1,060",69,6.50%,81,7.60%,Y
2018-2019,1,61176,6066468,Alameda,Fremont Unified,John Gomes Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,746,37,5.00%,45,6.00%,712,32,4.50%,40,5.60%,Y
2018-2019,1,61176,6089320,Alameda,Fremont Unified,Brookvale Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,708,86,12.10%,93,13.10%,679,81,11.90%,88,13.00%,Y
